 , ,,,,
Part Number,Description,Quantity,Designator,Mouser, 
12065D106KAT2A,10uf 50V 1206 SMD Capacitor,1,C1, 581-12065D106KAT2A,
C1206C104M5UAC,0.1 uf 50V 1206 SMD Capacitor,4,"C2, C4, C9, C10",80-C1206C104M5UAC,
T490A107M6ATE800,100uf 6V 1206 SMD Capacitor,1,C3,80-T490A107M6ATE800,
C1206C474K3R,"470nf, 50V SMD Capacitor",2,"C5, C6",80-C1206C474K3R,
C1206C102K5R7210,"1nf, 50V SMD Capacittor",2,"C7, C8",80-C1206C102K5R7210,
 ,1x2 IDC Male Header Pins,1,J1,,
 ,2x5 IDC Male Header Pins,1,J2,,
 ,SMA PCB Mount Female,2,"J3, J4",,
CR1206-J/-000ELF,"0 Ohms, 1206 SMD Resistor",3,"R1, R2, R3",652-CR1206-J/-000ELF,
CR1206FX-1002ELF ,"10K, 1/4W 1206 SMD Resistor",4,"R4, R5, R6, R7",652-CR1206FX-1002ELF,
MCP23017-E/SO,MCP23017-E/SO,1,U1,579-MCP23017-E/SO,
LM1117MPX-3.3/NOPB,LM1117MPX-3.3,1,U2,926-LM1117MPX-33/ NOPB,
81-PE4312C-Z,PE4302 or PE4312,2,"U3, U4",81-PE4312C-Z,
From K9HZ,PCB,1,, ,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
