Quantity,Reference,Value,Mouser,
2,"C147, C154",10pF 50V  SMD 1206 Capacitor,,
1,C70,14pF 100V SMD 1206 Capacitor,,
2,"C63, C69",27pF 100V SMD 1206 Capacitor,,
2,"C65, C148",33pF 100V SMD 1206 Capacitor,,
1,C71,39pF 100V SMD 1206 Capacitor,,
2,"C60 , C64",47pF 100V SMD 1206 Capacitor,,
1,C62,47pf 500V SMD 1206 Capacitor,,
2,"C57, C75",56pF 100V SMD 1206 Capacitor,,
3,"C39, C67, C100",60pF 100V SMD 1206 Capacitor,,
2,"C66, C68",68pF 100V SMD 1206 Capacitor, ,
8,"C24, C35, C41, C53, C72, C85, C90, C105",82pF 100V SMD 1206 Capacitor, ,
2,"C51, C82",91pF 100V SMD 1206 Capacitor, ,
9,"C32, C38, C52, C56, C58, C74, C76, C94, C99",100pF 100V SMD 1206 Capacitor,,
2,"C37, C98",120pF 100V SMD 1206 Capacitor,,
11,"C27, C28, C33, C36, C42, C61, C83, C95, C19, C102, C104",150pF 100V SMD 1206 Capacitor,,
2,"C50, C81",180pF 100V SMD 1206 Capacitor,,
4,"C34, C49, C80, C96",220pF 100V SMD 1206 Capacitor,,
13,"C25, C43, C44, C48, C54, C55, C59, C73, C77, C79, C87, C88, C103",330pF 100V SMD 1206 Capacitor,,
2,"C26, C101",390pF 100V SMD 1206 Capacitor,,
6,"C30, C40, C47, C78, C89, C92",470pF 100V SMD 1206 Capacitor,,
2,"C31, C93",560pF 100V SMD 1206 Capacitor,,
1,C15,1000pF 50V SMD 1206 Capacitor,,
2,"C46, C86",1200pF 100V SMD 1206 Capacitor,,
2,"C29, C91",1500pF 100V SMD 1206 Capacitor,,
2,"C14, C16",1900pF 50V SMD 1206 Capacitor,,
2,"C45, C84",2200pF 100V SMD 1206 Capacitor,,
6,"C140, C144, C149, C153, C155, C156",0.01uF 50V SMD 1206 Capacitor,,
1,C19,0.015uF 50V SMD 1206 Capacitor,,
53,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C17, C18, C20, C21, C22, C23, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C120, C121, C122, C123, C124, C125, C126, C127, C128, C129, C130, C137, C138, C139, C141, C150, C151, C152, C157, C158",0.1uF 50V SMD 1206 Capacitor,,
5,"C132, C133, C135, C136, C146",1uF 25V SMD 1206 Capacitor,,
2,"C143, C145",10uf 25V SMD 1206 Capacitor,,
1,C142,100uF 6V Aluminum Electrolytic Capacitor,,
2,"C131, C134",220uf 16V Aluminum Electrolytic Capacitor,,
2,"D1, D2 ",BAS70 SMD 1206 Diode, ,
,J1,,IDC2X5M,
20,"J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J20, J21",SMA PCB Mount Female Connector,901-144, 
33,"K1, K2, K3, K4, K5, K6, K7, K8, K9, K10, K11, K12, K13, K14, K15, K16, K17, K18, K19, K20, K21, K22, K23, K24, K25, K26, K27, K28, K29, K30, K31, K32, K33",HF41F-12-ZS SPDT 12V Relay, ,
2,"L1, L2",3.5uH SMD 1206 Inductor, ,
1,L24,0.170uH,,
2,"L13, L35",0.188uH,,
1,L23,0.305uH,,
2,"L12, L34",0.335uH,,
1,L22,0.342uH,,
2,"L11, L33",0.377uH,,
1,L21,0.406uH,,
2,"L10, L32",0.447uH,,
1,L20,0.471uH,,
2,"L9, L31",0.519uH,,
1,L19,0.608uH,,
2,"L8, L30",0.670uH,,
1,L18,0.843uH,,
2,"L7, L29",0.928uH,,
1,L17,1.22uH,,
2,"L6, L28",1.34uH,,
1,L16,1.60uH,,
2,"L5, L27",1.76uH,,
1,L15,2.43uH,,
2,"L4, L26",2.68uH,,
1,L14,4.73uH,,
2,"L3, L25",5.21uH,,
4,"L36, L37, L39, L41",FB Inductor 600 Ohm 250MA, ,
4,"L38, L40, L42, L43",22uH SMD 1205 Inductor, ,
1,L44,BN-43-202 Core, ,
1,Q1,IRF630 FET TO220, ,
1,Q2,2N7002 FET SO-23-3, ,
6,"R8, R9, R10, R11, R23, R30",0 Ohm SMD 1206 Resistor,,
4,"R13 R20, R21, R28",52.3 Ohm,,
5,"R1, R2, R3, R12, R14",2.2K Ohm SMD 1206 Resistor,,
1,R15,3.9K Ohm SMD 1206 Resistor,,
3,"R7, R26, R29",10K Ohm SMD 1206 Resistor,,
2,"R19, R27",22K Ohm 3296W 10 Turn Potentiometer , ,
, , ,,
,R16,for1,,
,R17,for2,,
,R18,for3,,
,R22,ref1, ,
,R24,ref2, ,
,R25,ref3, ,
,,,,
5,"U1, U3, U7, U8, 21",MASWS0179,,
1,U2,MC74HC237D,,
3,"U4, U9, U10",ULN2803ADW,,
3,"U5, U6, U22",74LVC1G04GW,,
1,U11,L7805ABD2T-TR,,
1,U12,SN74HC4514DW,,
1,U13,L7808ABD2T-TR,,
2,"U14, U19",AD8307ARZ,,
1,U15,MCP23017_SO,,
1,U16,LM1117IDT-3.3/NOPB,,
1,U17,REF3440IDBVR,,
1,U18,TC4428_OA,,
1,U20,AD7991YRJZ,,
