Qty,Desc,PN,Footprint,Mouser,Unit Price 1,Quoted Part Number,Order Quantity,Order Price,Min\Mult Order Qty
1,1.5uH,L5,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,673-PE-0603CLH1R5STS,$0.23 ,673-PE-0603CLH1R5STS,1,$0.23 ,1\1
1,10uH 20%,L13,L_Bourns-SRN6028,81-1264EY-100MP3,$0.48 ,81-1264EY-100MP3,1,$0.48 ,1\1
1,12-13.8V,J21,TerminalBlock_bornier-2_P5.08mm,538-39880-4302,$1.12 ,538-39880-4302,1,$1.12 ,1\1
2,120 nH,"L3,L4",L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,81-LQW18ANR12G80D,$0.19 ,81-LQW18ANR12G80D,2,$0.19 ,1\1
1,2N7002,Q1,TO-92_Inline,512-2N7000BU,$0.36 ,512-2N7000BU,1,$0.36 ,1\1
1,39 nH,L11,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,81-LQW18AN39NG0ZD,$0.21 ,81-LQW18AN39NG0ZD,1,$0.21 ,1\1
1,470uF 25V,C94,CP_Radial_D10.0mm_P5.00mm,667-ECA-1EM471,$0.33 ,667-ECA-1EM471,1,$0.33 ,1\1
2,82nH,"L7, L8",L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,81-LQW18AN82NJ00D,$0.15 ,81-LQW18AN82NJ00D,2,$0.15 ,1\1
1,ADF4351,U7,LFCSP-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,584-ADF4351BCPZ-R7,$20.54 ,584-ADF4351BCPZ-R7,1,$20.54 ,1\1
1,ADL5387,U4,LFCSP-24-1EP_4x4mm_P0.5mm_EP2.3x2.3mm,584-ADL5387ACPZ-R7,$13.84 ,584-ADL5387ACPZ-R7,1,$13.84 ,1\1
1,EA-T220-38E,H5,EAT22038E,490-HSE-B20250-040H,$0.70 ,490-HSE-B20250-040H,1,$0.70 ,1\1
1,ECS-TX053-S3,Y1,Oscillator_ECS_TXO53_S3,520-TXO53S333250BNTR,$9.86 ,520-TXO53S333250BNTR,1,$9.86 ,1\1
2,ETC1-1-13,"TR3,TR4",Transformer_MACOM_SM-22,937-ETC1-1-13TR,$2.84 ,937-ETC1-1-13TR,2,$2.84 ,1\1
4,IQ_FROM_HF_RF,J1-J4,Jack_3.5mm_STX-3081_Horizontal,490-SJ1-3515N,$1.17 ,490-SJ1-3515N,4,$1.17 ,1\1
1,IRF4905,Q2,TO-220-3_Vertical,942-IRF4905PBF,$1.84 ,942-IRF4905PBF,1,$1.84 ,1\1
1,TLV1117-3.3,U19,TO-252-2,595-TLV111733CKVURG3,$0.92 ,595-TLV111733CKVURG3,1,$0.92 ,1\1
1,LM7805CT,U17,TO-220-3_Vertical,926-LM7805CT,$2.46 ,926-LM7805CT,1,$2.46 ,1\1
2,LT6350,"U11,U12",MSOP-8_3x3mm_P0.65mm,584-LT6350CMS8#PBF,$7.50 ,584-LT6350CMS8#PBF,2,$7.50 ,1\1
1,LTC5599,U13,VQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm,584-LTC5599IUF#PBF,$11.75 ,584-LTC5599IUF#PBF,1,$11.75 ,1\1
4,MC33078,"U2,U3,U9,U10",SOIC-8_3.9x4.9mm_P1.27mm,595-MC33078DR,$0.84 ,595-MC33078DR,4,$0.84 ,1\1
1,MCP23008-xSO,U14,SOIC-18W_7.5x11.6mm_P1.27mm,579-MCP23008T-E/SO,$1.31 ,579-MCP23008T-E/SO,1,$1.31 ,1\1
1,PSA-8A+,U5,SOT-363_SC-70-6,139-PSA-8A,$3.60 ,139-PSA-8A,1,$3.60 ,1\1
2,RFSW1012,"U6,U8",QFN-12-1EP_2x2mm_P0.5mm,772-RFSW1012,$2.12 ,772-RFSW1012,2,$2.12 ,1\1
1,SC18IS606,U15,TSSOP-16_4.4x5mm_P0.65mm,771-SC18IS606PWJ,$3.07 ,771-SC18IS606PWJ,1,$3.07 ,1\1
1,SN3257-Q1,U1,TSSOP-16_4.4x5mm_P0.65mm,595-SN3257QPWRQ1,$1.01 ,595-SN3257QPWRQ1,1,$1.01 ,1\1
,,,,,,,,$88.44 ,
