"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","PN"
"C1,C2,C3,C4,C5","5","0.1uF 50V","","","","Capacitor_SMD:C_0603_1608Metric","CC0603KRX7R9BB104"
"G1","1","qwiic_Logo","DNP","Excluded from BOM","","SparkFun-Qwiic:qwiic_4mm",""
"H1,H2","2","MountingHole","DNP","Excluded from BOM","","MountingHole:MountingHole_2.2mm_M2_DIN965",""
"J1","1","qwiic","","","","Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","SM04B-SRSS-TB(LF)(SN)"
"J2","1","pin header","DNP","Excluded from BOM","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"J3,J4","2","pin header","DNP","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"J5","1","OEBSSEN","DNP","Excluded from BOM","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"JP1","1","GND select","DNP","Excluded from BOM","","Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm",""
"JP2","1","SolderJumper_2_Open","DNP","Excluded from BOM","","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm",""
"L1,L2,L3,L4","4","FB","","","","Inductor_SMD:L_0603_1608Metric","BMC-Q1JY0500H"
"Y1","1","ECS-TX053-S3","","","","T41_Library:Oscillator_ECS_TXO53_S3","ECS-TXO53-S3-33-250-BN-TR "
"Y3","1","Si5351A-B-GM","","","","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.7x2.7mm","SI5351A-B-GM"
